Date,Cluster,Ticker,Action,Shares_Qty,Close,Final_Weight,Position,Score_MR,Score_Mom,Score_VB,Score_XSR,Score_Val
2024-05-31,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,6714811,74.46,-0.5,-1.0,-0.0713,0.0,-0.8606,0.0,0.0
2024-05-31,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,31118867,16.07,0.5,1.0,0.0713,1.0,-0.1043,1.0,1.0
2024-06-03,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,6738445,74.2,-0.5,-1.0,-0.4327,0.0,-0.8335,0.0,0.0
2024-06-03,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,31870628,15.69,0.5,1.0,0.4327,1.0,-0.924,1.0,1.0
2024-06-04,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,6944991,71.99,-0.5,-1.0,-0.6674,0.0,-0.6179,0.0,0.0
2024-06-04,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,32960217,15.17,0.5,1.0,0.6674,1.0,-1.0,1.0,1.0
2024-06-05,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,6899939,72.46,-0.5,-1.0,-0.635,0.0,-0.6166,1.0,0.0
2024-06-05,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,32744931,15.27,0.5,1.0,0.635,1.0,-1.0,0.0,1.0
2024-06-06,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,7086371,70.56,-0.5,-1.0,-0.6646,1.0,-0.3475,1.0,0.0
2024-06-06,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,33377158,14.98,0.5,1.0,0.6646,0.0,-1.0,0.0,1.0
2024-06-07,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,7182071,69.62,-0.5,-1.0,-0.7125,0.0,-0.3098,1.0,0.0
2024-06-07,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,33782002,14.8,0.5,1.0,0.7125,1.0,-0.9916,0.0,1.0
2024-06-10,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,7300517,68.49,0.5,1.0,-0.2766,0.0,-0.2766,1.0,1.0
2024-06-10,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,33178356,15.07,-0.5,-1.0,0.2766,1.0,-0.9525,0.0,0.0
2024-06-11,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,7328461,68.23,-0.5,-1.0,-0.9097,0.0,-0.292,0.0,0.0
2024-06-11,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,34550305,14.47,0.5,1.0,0.9097,1.0,-0.8014,1.0,1.0
2024-06-12,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,7169296,69.74,0.5,1.0,-0.7157,0.0,-0.5348,1.0,0.0
2024-06-12,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,33736538,14.82,-0.5,-1.0,0.7157,1.0,-0.6537,0.0,1.0
2024-06-13,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_LONG,7283160,68.65,0.5,1.0,-0.602,0.0,-0.4938,1.0,1.0
2024-06-13,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_SHORT,33873304,14.76,-0.5,-1.0,0.602,1.0,-0.6391,0.0,0.0
2024-06-14,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_LONG,7399269,67.57,0.5,1.0,-0.6072,0.0,-0.6393,1.0,1.0
2024-06-14,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_SHORT,34266909,14.59,-0.5,-1.0,0.6072,1.0,-0.6573,0.0,0.0
2024-06-17,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,7219989,69.25,-0.5,-1.0,-0.5845,1.0,-0.3318,0.0,0.0
2024-06-17,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,33691191,14.84,0.5,1.0,0.5845,0.0,-0.4465,1.0,1.0
2024-06-18,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,7190838,69.53,-0.5,-1.0,-0.5569,1.0,-0.4087,0.0,0.0
2024-06-18,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,33578361,14.89,0.5,1.0,0.5569,0.0,-0.4209,1.0,1.0
2024-06-20,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,7163262,69.8,-0.5,-1.0,-0.9495,1.0,-0.3911,0.0,0.0
