index,ticker,sectorKey,industryKey
358,LILA,communication-services,telecom-services
359,NOTV,healthcare,diagnostics-research
360,EGAN,technology,software-application
361,GILD,healthcare,drug-manufacturers-general
362,OESX,industrials,electrical-equipment-parts
363,CME,financial-services,financial-data-stock-exchanges
364,LKFN,financial-services,banks-regional
365,BINI,consumer-cyclical,auto-manufacturers
366,SFNC,financial-services,banks-regional
367,LFUS,technology,electronic-components
368,RGCO,utilities,utilities-regulated-gas
369,CWCO,utilities,utilities-regulated-water
370,CRVO,healthcare,biotechnology
371,CCRN,healthcare,medical-care-facilities
372,WKHS,consumer-cyclical,auto-manufacturers
373,USAU,basic-materials,gold
374,FORTY,technology,information-technology-services
375,PBHC,financial-services,banks-regional
377,AXGN,healthcare,medical-devices
378,AMCX,communication-services,entertainment
379,ULTA,consumer-cyclical,specialty-retail
380,KLIC,technology,semiconductor-equipment-materials
381,TILE,consumer-cyclical,furnishings-fixtures-appliances
382,WPRT,consumer-cyclical,auto-parts
383,SEED,basic-materials,agricultural-inputs
384,DRS,industrials,aerospace-defense
385,PNRG,energy,oil-gas-e-p
386,COMM,technology,communication-equipment
387,PANW,technology,software-infrastructure
388,MNKD,healthcare,biotechnology
390,MRCY,industrials,aerospace-defense
391,PCAR,industrials,farm-heavy-construction-machinery
392,LINK,technology,electronic-components
393,AGNC,real-estate,reit-mortgage
394,AQMS,industrials,waste-management
395,ZVRA,healthcare,biotechnology
396,HST,real-estate,reit-hotel-motel
397,SCNI,healthcare,biotechnology
398,PLXS,technology,electronic-components
399,NITO,basic-materials,agricultural-inputs
400,ON,technology,semiconductors
401,WVE,healthcare,biotechnology
402,INO,healthcare,biotechnology
403,ANDE,consumer-defensive,food-distribution
404,ARTNA,utilities,utilities-regulated-water
405,ENTA,healthcare,biotechnology
407,QCRH,financial-services,banks-regional
408,ATLX,basic-materials,other-industrial-metals-mining
409,WIX,technology,software-infrastructure
410,HQI,industrials,staffing-employment-services
411,IVDA,industrials,security-protection-services
412,CHSCL,consumer-defensive,farm-products
413,LPTH,technology,electronic-components
414,FIZZ,consumer-defensive,beverages-non-alcoholic
415,MORN,financial-services,financial-data-stock-exchanges
416,CASH,financial-services,banks-regional
417,SHBI,financial-services,banks-regional
418,ENSG,healthcare,medical-care-facilities
419,CLAR,consumer-cyclical,leisure
